model,ndcg@10,ci_low,ci_high
BM25,0.47735910614525146,0.44548100942737434,0.50937849650838
e5-small,0.7168680167597766,0.6905060048882683,0.7427650684357543
e5-base,0.7711227793296089,0.7463996023044692,0.7951051166201117
e5-large,0.8367258798882682,0.8150263009776536,0.8577846452513969
e5-large-instruct,0.8544671927374301,0.8340988568435753,0.8742681428072626
bge-m3,0.8320668575418995,0.8112334926675978,0.8525146166201119
USER-base,0.6245530446927374,0.5962356194134077,0.6521182335893856
USER-bge-m3,0.8232924441340782,0.8018721096368715,0.8445024539106145
USER2-base,0.7767933379888267,0.7527837674581005,0.8002580293296091
FRIDA,0.8489078631284916,0.8284742360335196,0.8684747067039106
ru-en-RoSBERTa,0.7815342877094972,0.7581335366620113,0.8046331613128493
Qwen3-Emb-0.6B,0.7988995949720669,0.7758990139664804,0.8212759965083799
rubert-tiny2,0.3570766061452514,0.3290841438547486,0.3847491696927374
ft-e5-small,0.7901943296089385,0.7672014427374302,0.8126406602653632
ft-e5-small-v2,0.8209943296089386,0.7980604594972067,0.8429108079608939
ft-e5-base,0.8201831983240223,0.798965908170391,0.8406631194134078
